"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"PINBALL",0.503416546441207,-0.414387345411988,0.399134943696948,0.60575257018523,-0.149873075442557,-0.147642993205362,0.0647283549779607,-0.0125875031430368,-0.00119658132129384
"BILLIARD",0.497187692908602,-0.401009362728827,0.545740866150762,-0.224316762516063,0.0751493472281475,0.230315624363194,-0.102149383625041,-0.417155302297005,-0.0264392145735073
"GOLF",0.516704427628344,-0.377810605782379,0.531231047995863,-0.336589919190099,0.00901754837587345,-0.13942722842317,0.0576299594949373,0.41351714398647,-0.0306197936936671
"X.1500M",0.283332842078813,0.735993327680144,0.341486887544987,-0.0402253232131366,-0.113759689246309,0.0895376618483447,0.348477779535205,-0.0417692565700508,0.340095953822152
"X.2KROW",0.614982952821259,0.487641095570256,-0.156932104673253,-0.0772408582131263,0.212810566641982,-0.507217844654588,0.0107171721362238,-0.183030555247903,-0.13128203552706
"X.12MINTR",0.373777491805173,0.674436492853875,0.263395327110068,0.199983349639277,0.291780023109706,0.264357490739544,-0.322664472779763,0.182046384571635,-0.0614951406582624
"BENCH",0.576274415753532,-0.352340081668995,-0.548843454975813,-0.0199040017672487,0.0478455867114269,-0.0383910771419159,-0.251061909510795,0.0308986290675044,0.417599179338201
"CURL",0.566721047637481,-0.252984613054367,-0.541808524839915,0.060032624535217,0.277443701888186,0.275360016843431,0.378499886481757,0.0501005029235447,-0.138185654361392
"MAXPUSHU",0.654848200136485,0.288781179824368,-0.339181815630563,-0.0884215993726877,-0.548345928632256,0.130840191958082,-0.100970303123464,0.0156164956360795,-0.191507940668756
